No	Bank_Name	Country	Swift_Code
1	JP Morgan Chase	USA	CHASUS33XXX (CHASUS33)
2	Industrial and Commercial Bank of China (ICBC)	China	ICBKCNBJXXX (ICBKCNBJ)
3	Bank of America	USA	BOFAUS3NXXX (BOFAUS3N)
4	Wells Fargo	USA	WFBIUS6SXXX (WFBIUS6S)
5	China Construction Bank (CCB)	China	PCBCCNBJXXX (PCBCCNBJ)
6	HSBC Holdings PLC	UK	MIDLGB22XXX (MIDLGB22)
7	Agricultural Bank of China	China	ABOCCNBJXXX (ABOCCNBJ)
8	Citigroup	USA	CITIUS33XXX (CITIUS33)
9	Bank of China	China	BKCHHKHHXXX (BKCHHKHH)
10	China Merchants Bank	China	CMBCCNBSXXX (CMBCCNBS)
11	Royal Bank of Canada	Canada	ROYCCAT2XXX (ROYCCAT2)
12	The Toronto-Dominion Bank	Canada	TDOMCATTXXX (TDOMCATT)
13	Commonwealth Bank of Australia	Australia	CTBAAU2SXXX (CTBAAU2S)
14	Morgan Stanley	USA	MSNYUS33XXX (MSNYUS33)
15	Goldman Sachs	USA	GOLDUS33XXX (GOLDUS33)
16	Banco Santander	Spain	BSCHESMMXXX (BSCHESMM)
17	Mitsubishi UFJ Financial Group	Japan	BOTKJPJTXXX (BOTKJPJT)
18	U.S. Bancorp	USA	USBKUS44XXX (USBKUS44)
19	BNP Paribas	France	BNPAFRPPXXX (BNPAFRPP)
20	Bank of Nova Scotia	Canada	NOSCCATTXXX (NOSCCATT)
21	Westpac	Australia	WPACAU2SXXX (WPACAU2S)
22	Itau Unibanco Holding	Brazil	ITAUBRSPXXX (ITAUBRSP)
23	PNC Financial Services Group	USA	PNCCUS33XXX (PNCCUS33)
24	Bank of Communications	China	COMMCNSHXXX (COMMCNSH)
25	Lloyds Banking Group	UK	LOYDGB2LXXX (LOYDGB2L)
26	Sumitomo Mitsui Financial Group	Japan	SMBCJPJTXXX (SMBCJPJT)
27	UBS AG	Switzerland	UBSWCHZHXXX (UBSWCHZH)
28	ANZ Banking Group	Australia	ANZBAU3MXXX (ANZBAU3M)
29	ING Group	Netherlands	INGBNL2AXXX (INGBNL2A)
30	Bank of New York Mellon	USA	IRVTUS3NXXX (IRVTUS3N)
31	National Australia Bank	Australia	NATAAU33XXX (NATAAU33)
32	Intesa Sanpaolo	Italy	BCITITMMXXX (BCITITMM)
33	Banco Bradesco	Brazil	BBDEBRSPXXX (BBDEBRSP)
34	Bank of Montreal	Canada	BOFMCAT2XXX (BOFMCAT2)
35	Capital One	USA	HIBKUSH1XXX (HIBKUSH1)
36	Barclays	UK	BARCGB22XXX (BARCGB22)
37	BBVA	Spain	BBVAESMMXXX (BBVAESMM)
38	Mizuho Financial Group	Japan	MHCBJPJTXXX (MHCBJPJT)
39	Royal Bank of Scotland Group	UK	RBOSGB2LXXX (RBOSGB2L)
40	China CITIC Bank	China	ITRCCNB1XXX (ITRCCNB1)
41	China Minsheng Banking Corp	China	MSBCCNBJXXX (MSBCCNBJ)
42	Credit Suisse Group	Switzerland	CRESCHZFXXX (CRESCHZF)
43	Nordea Bank	Sweden	NDEASESSXXX (NDEASESS)
44	Credit Agricole	France	AGRIFRPPXXX (AGRIFRPP)
45	UniCredit	Italy	UNCRITMMXXX (UNCRITMM)
46	CIBC	Canada	CIBCCATTXXX (CIBCCATT)
47	Societe Generale	France	SOGEFRPPXXX (SOGEFRPP)
48	Standard Chartered	UK	SCBLGB2LXXX (SCBLGB2L)
49	KBC Group	Belgium	KREDBEBBXXX (KREDBEBB)
50	Deutsche Bank	Germany	DEUTDEFFXXX (DEUTDEFF)
